SLpM,TD_Def,Sub_Avg,style,fighter_name,Height,Weight,Reach,Stance,DOB,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc
2.08,0.0,1.4,4,Gadzhimurad Antigulov,"5' 11""",205 lbs.,"70""",Orthodox,"Feb 09, 1987",0.55,4.21,0.4,5.08,0.36
5.73,1.0,0.0,5,Adam Antolin,"5' 5""",125 lbs.,"63""",Orthodox,"Feb 28, 1982",0.52,5.0,0.69,0.0,0.0
3.23,0.75,0.0,0,Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,"Dec 01, 1985",0.58,3.75,0.45,1.83,0.16
2.37,0.41,0.7,4,Felipe Arantes,"5' 8""",135 lbs.,"73""",Orthodox,"Feb 09, 1988",0.45,2.66,0.64,0.93,0.47
1.52,0.22,0.6,4,Igor Araujo,"6' 1""",170 lbs.,"77""",Orthodox,"Dec 06, 1980",0.42,2.86,0.49,0.86,0.15
4.77,0.92,0.0,5,Viviane Araujo,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 21, 1986",0.5,5.32,0.56,1.88,0.53
4.25,0.93,0.6,0,Julio Arce,"5' 7""",145 lbs.,"70""",Southpaw,"Oct 27, 1989",0.36,2.87,0.67,0.58,0.3
3.48,0.79,0.3,0,Andrei Arlovski,"6' 3""",240 lbs.,"77""",Orthodox,"Feb 04, 1979",0.44,2.77,0.58,0.48,0.36
4.52,0.57,0.2,5,Austin Arnett,"6' 0""",145 lbs.,"72""",Orthodox,"Oct 22, 1991",0.41,6.38,0.62,0.44,0.18
2.32,0.33,0.4,4,Akbarh Arreola,"5' 10""",155 lbs.,"71""",Southpaw,"Jan 14, 1983",0.45,4.01,0.56,1.07,1.0
1.62,1.0,5.3,1,Matt Arroyo,"5' 10""",170 lbs.,"72""",Orthodox,"Sep 01, 1982",0.47,2.01,0.58,2.12,0.36
3.08,0.32,0.3,0,Antonio Arroyo,"6' 3""",185 lbs.,"73""",Orthodox,"Jul 01, 1989",0.7,1.72,0.44,1.4,0.41
7.27,1.0,0.0,2,Teddy Ash,"6' 1""",185 lbs.,"73""",Switch,"Dec 27, 1989",0.61,6.8,0.28,0.0,0.0
3.2,0.64,0.0,0,Askar Askarov,"5' 6""",125 lbs.,"67""",Orthodox,"Oct 09, 1992",0.52,2.51,0.55,2.0,0.18
3.35,1.0,0.9,0,Cyril Asker,"6' 0""",247 lbs.,"74""",Orthodox,"Dec 24, 1985",0.39,5.82,0.35,4.41,0.62
3.03,0.65,0.7,0,Scott Askham,"6' 3""",185 lbs.,"75""",Southpaw,"May 20, 1988",0.46,3.52,0.52,0.44,0.18
3.64,0.0,0.9,0,Ben Askren,"5' 11""",170 lbs.,"73""",Orthodox,"Jul 18, 1984",0.49,5.66,0.36,4.33,0.55
11.14,0.0,0.0,2,Tom Aspinall,"6' 5""",256 lbs.,"78""",Orthodox,"Apr 11, 1993",0.74,2.57,0.71,6.43,1.0
3.31,0.66,0.7,0,Junior Assuncao,"5' 9""",145 lbs.,"72""",Orthodox,"Jun 24, 1981",0.62,2.06,0.44,2.43,0.24
3.26,0.8,0.3,0,Raphael Assuncao,"5' 5""",135 lbs.,"66""",Orthodox,"Jul 19, 1982",0.4,2.33,0.68,1.48,0.38
2.28,0.75,0.0,4,Rich Attonito,"5' 10""",170 lbs.,"72""",Orthodox,"Jun 16, 1977",0.47,2.13,0.59,0.74,0.37
2.48,0.7,0.5,4,Olivier Aubin-Mercier,"5' 9""",155 lbs.,"70""",Southpaw,"Feb 23, 1989",0.51,2.97,0.55,2.36,0.33
1.42,0.27,1.3,4,Marcus Aurelio,"5' 10""",155 lbs.,"74""",Orthodox,"Aug 18, 1973",0.33,2.27,0.59,1.69,0.27
2.34,0.5,1.8,1,Blas Avena,"6' 0""",170 lbs.,"74""",Orthodox,"Jun 30, 1983",0.47,3.36,0.43,2.37,0.8
3.1,0.6,0.0,0,Julia Avila,"5' 7""",135 lbs.,"68""",Orthodox,"May 11, 1988",0.41,2.9,0.54,0.49,0.5
3.53,0.5,0.3,0,Jessin Ayari,"6' 0""",155 lbs.,"73""",Orthodox,"May 31, 1992",0.37,3.59,0.58,0.0,0.0
3.2,0.25,0.0,0,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,"Mar 10, 1986",0.37,1.27,0.57,1.0,1.0
8.43,1.0,0.0,2,Ottman Azaitar,"5' 8""",155 lbs.,"71""",Switch,"Feb 20, 1990",0.57,1.76,0.67,0.0,0.0
4.17,0.76,1.4,0,Hunter Azure,"5' 8""",145 lbs.,"69""",Orthodox,"Mar 02, 1992",0.52,1.99,0.62,2.52,0.45
3.08,0.48,0.8,0,Seth Baczynski,"6' 3""",170 lbs.,"75""",Orthodox,"Oct 26, 1981",0.31,3.14,0.51,0.89,0.16
2.82,0.8,0.4,0,Ryan Bader,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 07, 1983",0.43,1.39,0.71,3.37,0.44
4.64,1.0,1.2,5,Miguel Baeza,"6' 2""",170 lbs.,"74""",Orthodox,"Aug 23, 1992",0.55,3.89,0.5,0.8,0.4
2.85,0.65,0.3,0,Ali Bagautinov,"5' 4""",125 lbs.,"65""",Orthodox,"Jun 10, 1985",0.42,3.09,0.52,2.51,0.36
6.8,0.75,0.0,5,Melsik Baghdasaryan,"5' 9""",145 lbs.,"70""",Southpaw,"Jan 28, 1992",0.64,3.8,0.53,0.0,0.0
2.91,0.62,0.3,0,Siyar Bahadurzada,"5' 11""",170 lbs.,"73""",Orthodox,"Apr 17, 1984",0.4,3.23,0.49,1.32,0.61
8.78,1.0,0.0,2,Ignacio Bahamondes,"6' 3""",170 lbs.,"75""",Orthodox,"Aug 27, 1997",0.54,2.66,0.67,0.0,0.0
1.56,0.37,0.0,4,Shamar Bailey,"5' 9""",155 lbs.,"75""",Southpaw,"Sep 22, 1982",0.2,3.91,0.69,1.5,0.33
2.45,0.37,0.0,4,Oluwale Bamgbose,"5' 11""",185 lbs.,"78""",Switch,"Aug 04, 1987",0.48,2.7,0.55,0.94,0.33
2.22,0.62,0.5,4,Humberto Bandenay,"5' 11""",145 lbs.,"71""",Southpaw,"Sep 04, 1994",0.41,4.79,0.41,2.9,0.46
2.72,0.57,0.5,4,Tae Hyun Bang,"5' 9""",155 lbs.,"71""",Switch,"Apr 15, 1983",0.38,2.07,0.66,0.49,0.33
2.69,0.86,0.4,4,Antonio Banuelos,"5' 5""",135 lbs.,"63""",Orthodox,"Sep 23, 1979",0.33,3.15,0.58,1.62,0.62
3.78,0.91,0.5,0,Renan Barao,"5' 6""",145 lbs.,"70""",Orthodox,"Jan 31, 1987",0.36,3.9,0.57,1.49,0.41
6.02,0.8,0.3,5,Maycee Barber,"5' 5""",125 lbs.,"65""",Switch,"May 18, 1998",0.6,3.15,0.49,0.95,0.3
5.48,0.6,0.5,5,Bryan Barberena,"6' 0""",170 lbs.,"72""",Southpaw,"May 03, 1989",0.48,4.7,0.45,0.23,0.28
3.98,0.78,0.1,0,Edson Barboza,"5' 11""",145 lbs.,"75""",Orthodox,"Jan 21, 1986",0.43,4.03,0.6,0.44,0.44
5.59,0.85,0.7,5,Raoni Barcelos,"5' 7""",135 lbs.,"67""",Orthodox,"May 01, 1987",0.52,4.17,0.67,2.23,0.56
4.43,0.63,0.4,5,Luke Barnatt,"6' 6""",185 lbs.,"77""",Orthodox,"Apr 13, 1988",0.36,3.87,0.59,0.63,0.42
3.2,0.55,1.4,0,Josh Barnett,"6' 3""",250 lbs.,"78""",Orthodox,"Nov 10, 1977",0.5,2.11,0.57,1.26,0.55
2.77,0.6,0.5,4,Phil Baroni,"5' 9""",170 lbs.,"72""",Orthodox,"Apr 16, 1976",0.45,3.93,0.4,1.46,0.47
4.18,0.66,0.0,0,Peter Barrett,"5' 10""",145 lbs.,"73""",Southpaw,"Aug 10, 1986",0.61,4.32,0.42,1.39,0.22
4.25,0.69,0.0,0,Marc-Andre Barriault,"6' 1""",185 lbs.,"74""",Orthodox,"Feb 18, 1990",0.46,4.12,0.57,0.55,0.28
2.77,0.83,0.0,4,Francimar Barroso,"6' 1""",205 lbs.,"75""",Orthodox,"Feb 28, 1980",0.52,3.07,0.59,2.22,0.24
2.72,0.76,0.2,4,Pat Barry,"5' 11""",235 lbs.,"74""",Orthodox,"Jul 07, 1979",0.52,3.54,0.59,0.0,0.0
3.91,0.66,0.3,0,Enrique Barzola,"5' 7""",145 lbs.,"70""",Orthodox,"Apr 28, 1989",0.41,2.97,0.68,4.2,0.45
5.66,0.57,0.0,5,Batgerel Danaa,"5' 7""",135 lbs.,"70""",Orthodox,"Jul 04, 1989",0.38,2.61,0.58,0.0,0.0
1.89,0.0,0.0,4,Alan Baudot,"6' 3""",243 lbs.,"79""",Orthodox,"Feb 01, 1988",0.25,10.11,0.36,0.0,0.0
6.19,0.57,0.0,5,Mario Bautista,"5' 9""",135 lbs.,"69""",Switch,"Jul 01, 1993",0.45,4.96,0.58,0.6,0.33
3.45,0.78,0.2,0,Chris Beal,"5' 7""",125 lbs.,"69""",Orthodox,"Aug 06, 1985",0.35,3.18,0.61,1.6,0.58
4.44,0.0,0.0,5,Ariel Beck,"5' 6""",125 lbs.,"66""",Southpaw,"Sep 16, 1990",0.34,4.31,0.64,0.0,0.0
4.53,0.62,0.0,5,Johnny Bedford,"5' 10""",135 lbs.,"71""",Orthodox,"Jan 06, 1983",0.5,1.75,0.63,1.83,0.62
2.17,0.41,0.9,4,Chase Beebe,"5' 7""",135 lbs.,"67""",Orthodox,"Mar 29, 1985",0.38,1.64,0.69,2.49,0.42
2.43,0.92,0.4,4,Mirsad Bektic,"5' 8""",145 lbs.,"70""",Orthodox,"Feb 16, 1991",0.41,1.8,0.57,3.98,0.52
5.81,0.64,0.0,5,Diana Belbita,"5' 7""",125 lbs.,"68""",Orthodox,"Jun 26, 1996",0.39,6.49,0.52,1.69,0.66
2.7,0.55,0.9,4,Alan Belcher,"6' 2""",185 lbs.,"75""",Orthodox,"Apr 24, 1984",0.41,3.1,0.59,0.44,0.26
1.59,0.53,0.6,4,Vitor Belfort,"6' 0""",185 lbs.,"74""",Southpaw,"Apr 01, 1977",0.46,2.83,0.5,1.02,0.6
1.52,0.5,0.0,4,Danilo Belluardo,"6' 0""",155 lbs.,"74""",Southpaw,"Jul 21, 1994",0.61,4.79,0.41,3.5,1.0
4.92,0.75,0.0,5,Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,"Dec 08, 1981",0.36,5.27,0.54,0.48,0.18
2.07,0.46,0.2,4,Marco Beltran,"5' 8""",125 lbs.,"69""",Orthodox,"May 18, 1986",0.37,1.93,0.63,0.7,0.5
3.54,0.65,0.6,0,Joseph Benavidez,"5' 4""",125 lbs.,"65""",Southpaw,"Jul 31, 1984",0.34,2.62,0.62,1.48,0.3
4.38,0.56,1.2,0,Gabriel Benitez,"5' 8""",155 lbs.,"71""",Southpaw,"Jun 15, 1988",0.38,3.26,0.7,0.17,0.5
3.13,0.0,1.0,0,DeAnna Bennett,"5' 4""",125 lbs.,"68""",Orthodox,"Nov 18, 1984",0.58,3.27,0.58,0.0,0.0
3.68,0.61,0.0,0,Lance Benoist,"5' 11""",170 lbs.,"72""",Southpaw,"Aug 26, 1988",0.51,2.7,0.56,1.5,0.33
2.95,0.7,0.5,0,Ryan Benoit,"5' 5""",125 lbs.,"68""",Orthodox,"Aug 25, 1989",0.41,3.4,0.6,0.33,0.25
4.56,0.0,0.0,5,Kenneth Bergh,"6' 2""",205 lbs.,"74""",Orthodox,"Jun 26, 1989",0.75,1.27,0.28,0.0,0.0
4.42,0.82,1.1,0,Dennis Bermudez,"5' 6""",155 lbs.,"66""",Orthodox,"Dec 13, 1986",0.46,3.07,0.59,3.89,0.4
2.92,0.0,3.1,1,Manny Bermudez,"5' 10""",145 lbs.,"71""",Orthodox,"Jul 16, 1994",0.61,2.68,0.46,3.06,0.54
3.12,0.28,0.5,0,Talita Bernardo,"5' 4""",135 lbs.,"68""",Orthodox,"Mar 04, 1987",0.42,4.04,0.55,1.62,0.22
4.36,0.61,0.3,0,Matt Bessette,"5' 10""",145 lbs.,"70""",Orthodox,"Dec 28, 1984",0.41,4.45,0.58,0.64,0.28
6.15,0.0,0.0,5,Khadzhi Bestaev,"6' 6""",185 lbs.,"76""",,"Jul 16, 1988",0.29,10.0,0.43,0.0,0.0
2.33,1.0,0.0,4,Arjan Bhullar,"6' 1""",245 lbs.,"75""",Orthodox,"May 13, 1986",0.56,3.25,0.59,1.73,0.75
1.18,0.0,0.0,4,KB Bhullar,"6' 4""",185 lbs.,"78""",Switch,"Oct 12, 1991",0.13,10.0,0.37,0.0,0.0
3.6,0.75,0.0,0,Bibulatov Magomed,"5' 5""",125 lbs.,"65""",Orthodox,"Aug 22, 1988",0.51,1.83,0.52,2.85,0.4
1.11,0.14,0.0,4,David Bielkheden,"5' 10""",155 lbs.,"71""",Orthodox,"Jun 06, 1979",0.57,1.64,0.54,2.65,0.63
4.23,0.73,0.0,0,Anthony Birchak,"5' 8""",135 lbs.,"69""",Orthodox,"May 16, 1986",0.36,3.06,0.6,0.6,0.16
4.33,0.63,0.3,0,Michael Bisping,"6' 1""",185 lbs.,"75""",Orthodox,"Feb 28, 1979",0.38,2.71,0.65,1.05,0.43
3.49,0.65,0.2,0,Jan Blachowicz,"6' 2""",205 lbs.,"78""",Orthodox,"Feb 24, 1983",0.48,2.74,0.54,1.1,0.52
4.55,0.76,0.7,5,Brad Blackburn,"5' 10""",170 lbs.,"73""",Orthodox,"May 25, 1977",0.35,3.59,0.65,0.93,0.5
3.7,0.42,0.0,0,Sherrard Blackledge,"5' 11""",155 lbs.,"75""",Orthodox,"Aug 16, 1993",0.49,3.13,0.55,4.0,0.33
4.11,0.63,0.3,0,Maximo Blanco,"5' 8""",145 lbs.,"71""",Orthodox,"Oct 16, 1983",0.44,3.19,0.66,1.85,0.36
3.55,0.33,0.0,0,Curtis Blaydes,"6' 4""",265 lbs.,"80""",Orthodox,"Feb 18, 1991",0.53,1.73,0.57,6.98,0.55
2.34,0.31,1.3,4,Mark Bocek,"5' 8""",155 lbs.,"75""",Orthodox,"Oct 24, 1981",0.43,2.32,0.6,3.65,0.36
2.63,0.62,0.0,4,Kyle Bochniak,"5' 7""",145 lbs.,"70""",Orthodox,"Feb 05, 1987",0.31,5.11,0.58,1.14,0.15
0.65,0.0,0.0,4,James Bochnovic,"6' 4""",205 lbs.,"81""",Orthodox,"Feb 13, 1989",0.26,3.64,0.21,0.0,0.0
2.93,0.59,0.8,0,Tim Boetsch,"6' 0""",185 lbs.,"74""",Orthodox,"Jan 28, 1981",0.5,2.9,0.57,1.45,0.34
3.63,0.5,0.0,0,Galore Bofando,"5' 11""",170 lbs.,"72""",Switch,"May 22, 1982",0.45,3.63,0.54,2.37,1.0
3.33,0.5,0.0,0,Roman Bogatov,"5' 8""",155 lbs.,"73""",Orthodox,"Dec 15, 1990",0.42,4.4,0.44,1.0,0.09
2.76,0.6,1.0,4,Stephan Bonnar,"6' 4""",205 lbs.,"79""",Orthodox,"Apr 04, 1977",0.38,3.01,0.52,1.32,0.4
2.3,0.51,1.1,4,Rogerio Bontorin,"5' 5""",125 lbs.,"67""",Orthodox,"Apr 25, 1992",0.52,3.17,0.38,1.76,0.35
1.52,0.46,1.0,4,Ray Borg,"5' 4""",135 lbs.,"63""",Orthodox,"Aug 04, 1993",0.52,1.93,0.48,3.89,0.5
0.0,0.0,0.0,4,Calen Born,"5' 8""",170 lbs.,"72""",Switch,"May 24, 1988",0.0,0.0,0.0,0.0,0.0
4.54,1.0,0.0,5,Tanner Boser,"6' 2""",255 lbs.,"75""",Orthodox,"Aug 02, 1991",0.55,2.7,0.63,0.0,0.0
5.99,1.0,0.0,5,Steve Bosse,"5' 11""",205 lbs.,"72""",Orthodox,"Jul 29, 1981",0.52,5.38,0.5,0.92,0.33
3.0,0.8,0.0,0,Poliana Botelho,"5' 8""",115 lbs.,"67""",Orthodox,"Dec 15, 1988",0.56,3.08,0.5,0.89,1.0
2.73,0.0,0.0,4,Kyron Bowen,"6' 3""",185 lbs.,"73""",Orthodox,"Dec 22, 1993",0.57,2.05,0.4,0.0,0.0
2.36,0.54,1.4,4,Brian Bowles,"5' 7""",135 lbs.,"70""",Orthodox,"Jun 22, 1980",0.26,2.98,0.64,1.39,0.7
3.9,0.27,0.9,0,Roger Bowling,"5' 9""",155 lbs.,"68""",Orthodox,"Dec 05, 1982",0.47,3.86,0.51,3.09,0.43
1.99,0.4,0.0,4,Kyle Bradley,"5' 9""",155 lbs.,"71""",Orthodox,"Aug 19, 1982",0.4,3.45,0.58,0.65,0.5
5.44,1.0,1.2,5,Sean Brady,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 23, 1992",0.55,4.35,0.61,3.26,0.57
3.73,1.0,0.0,0,Ramiz Brahimaj,"5' 10""",170 lbs.,"72""",Orthodox,"Nov 17, 1992",0.36,6.14,0.55,0.0,0.0
1.66,0.43,0.0,4,David Branch,"6' 1""",185 lbs.,"78""",Orthodox,"Sep 26, 1981",0.39,1.91,0.56,2.55,0.32
2.94,0.8,0.6,0,Diego Brandao,"5' 7""",145 lbs.,"64""",Orthodox,"May 27, 1987",0.47,3.38,0.62,3.21,0.68
7.66,0.85,0.0,2,Martin Bravo,"5' 8""",145 lbs.,"71""",Southpaw,"Sep 21, 1993",0.39,5.72,0.51,2.6,0.35
4.0,0.77,0.0,0,Mike Breeden,"5' 10""",155 lbs.,"70""",Orthodox,"Apr 21, 1989",0.34,5.87,0.47,0.0,0.0
3.77,0.75,0.3,0,Tom Breese,"6' 3""",185 lbs.,"73""",Southpaw,"Sep 26, 1991",0.51,2.68,0.63,0.0,0.0
1.52,0.72,0.0,4,Charlie Brenneman,"5' 10""",155 lbs.,"70""",Orthodox,"Feb 09, 1981",0.56,1.55,0.46,4.23,0.42
3.07,0.36,0.0,0,Marcos Brigagao,"6' 3""",205 lbs.,"76""",Southpaw,"Apr 01, 1996",0.43,3.27,0.25,0.0,0.0
2.66,0.25,1.3,4,Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,"Jul 07, 1975",0.4,1.78,0.65,2.37,0.25
3.97,0.8,0.0,0,Marcus Brimage,"5' 4""",135 lbs.,"71""",Southpaw,"Apr 06, 1985",0.35,3.64,0.56,0.56,1.0
